2021-10-07 12:36:35,635 | train | INFO | Write row 0
2021-10-07 12:36:37,778 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\model.pt
2021-10-07 12:36:37,779 | train | INFO | Update best record row 1, checkpoints inf -> 0.11316650845056583
2021-10-07 12:36:38,259 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 12:36:40,572 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 12:42:57,928 | train | INFO | Write row 1
2021-10-07 12:43:00,130 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 12:43:00,131 | train | INFO | Update best record row 2, checkpoints 0.11316650845056583 -> 0.0487562075213225
2021-10-07 12:43:00,532 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 12:43:00,532 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.11316650845056583 -> 0.0487562075213225
2021-10-07 12:43:02,671 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 12:49:17,922 | train | INFO | Write row 2
2021-10-07 12:49:20,038 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 12:49:20,039 | train | INFO | Update best record row 3, checkpoints 0.0487562075213225 -> 0.04679201926046517
2021-10-07 12:49:20,444 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 12:49:20,445 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.0487562075213225 -> 0.04679201926046517
2021-10-07 12:49:22,581 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 12:55:37,812 | train | INFO | Write row 3
2021-10-07 12:55:38,202 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 12:55:38,203 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 13:01:54,044 | train | INFO | Write row 4
2021-10-07 13:01:54,448 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 13:01:54,449 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 13:08:10,527 | train | INFO | Write row 5
2021-10-07 13:08:12,707 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 13:08:12,707 | train | INFO | Update best record row 6, checkpoints 0.04679201926046517 -> 0.02537673221362207
2021-10-07 13:08:13,091 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 13:08:13,092 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.04679201926046517 -> 0.02537673221362207
2021-10-07 13:08:15,196 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012\best.pt
2021-10-07 13:14:30,707 | train | INFO | Write row 6
2021-10-07 13:14:31,105 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 13:14:31,106 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 13:20:55,200 | train | INFO | Write row 7
2021-10-07 13:20:55,646 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 13:20:55,647 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 13:27:14,881 | train | INFO | Write row 8
2021-10-07 13:27:15,380 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
2021-10-07 13:27:15,381 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 13:33:31,654 | train | INFO | Write row 9
2021-10-07 13:33:32,063 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_l_in21ft1k_20211007123012
