2021-10-06 21:58:10,344 | train | INFO | Write row 0
2021-10-06 21:58:11,379 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\model.pt
2021-10-06 21:58:11,379 | train | INFO | Update best record row 1, checkpoints inf -> 0.09280773082947383
2021-10-06 21:58:11,840 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437
2021-10-06 21:58:12,872 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\best.pt
2021-10-06 22:01:40,578 | train | INFO | Write row 1
2021-10-06 22:01:41,659 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\best.pt
2021-10-06 22:01:41,659 | train | INFO | Update best record row 2, checkpoints 0.09280773082947383 -> 0.04561107027925467
2021-10-06 22:01:42,032 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437
2021-10-06 22:01:42,032 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.09280773082947383 -> 0.04561107027925467
2021-10-06 22:01:43,176 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\best.pt
2021-10-06 22:05:10,828 | train | INFO | Write row 2
2021-10-06 22:05:11,879 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\best.pt
2021-10-06 22:05:11,880 | train | INFO | Update best record row 3, checkpoints 0.04561107027925467 -> 0.041422840702664894
2021-10-06 22:05:12,298 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437
2021-10-06 22:05:12,299 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.04561107027925467 -> 0.041422840702664894
2021-10-06 22:05:13,380 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\tf_efficientnetv2_m_in21ft1k_20211006215437\best.pt
