2021-10-07 00:41:46,404 | train | INFO | Write row 0
2021-10-07 00:41:51,256 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\model.pt
2021-10-07 00:41:51,257 | train | INFO | Update best record row 1, checkpoints inf -> 0.08196631725594766
2021-10-07 00:41:51,716 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 00:41:57,848 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 01:09:25,340 | train | INFO | Write row 1
2021-10-07 01:09:30,537 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 01:09:30,538 | train | INFO | Update best record row 2, checkpoints 0.08196631725594766 -> 0.03492626466111295
2021-10-07 01:09:30,924 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 01:09:30,925 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.08196631725594766 -> 0.03492626466111295
2021-10-07 01:09:35,708 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 01:36:52,280 | train | INFO | Write row 2
2021-10-07 01:36:52,688 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 01:36:52,689 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 02:04:08,993 | train | INFO | Write row 3
2021-10-07 02:04:09,375 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 02:04:09,376 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 02:31:26,547 | train | INFO | Write row 4
2021-10-07 02:31:26,938 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 02:31:26,938 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 02:58:44,197 | train | INFO | Write row 5
2021-10-07 02:58:48,163 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 02:58:48,164 | train | INFO | Update best record row 6, checkpoints 0.03492626466111295 -> 0.029227985034807072
2021-10-07 02:58:48,548 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 02:58:48,550 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.03492626466111295 -> 0.029227985034807072
2021-10-07 02:58:52,516 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 03:26:09,811 | train | INFO | Write row 6
2021-10-07 03:26:10,274 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 03:26:10,275 | train | INFO | Early stopper, Early stopping counter 1/6
