2021-10-07 00:58:13,650 | train | INFO | Write row 0
2021-10-07 00:58:14,894 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\model.pt
2021-10-07 00:58:14,894 | train | INFO | Update best record row 1, checkpoints inf -> 0.23169238384640803
2021-10-07 00:58:15,737 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 00:58:16,898 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:06:59,482 | train | INFO | Write row 1
2021-10-07 01:07:00,731 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:07:00,733 | train | INFO | Update best record row 2, checkpoints 0.23169238384640803 -> 0.07923195702548683
2021-10-07 01:07:01,439 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:07:01,440 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.23169238384640803 -> 0.07923195702548683
2021-10-07 01:07:02,668 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:15:50,137 | train | INFO | Write row 2
2021-10-07 01:15:51,359 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:15:51,360 | train | INFO | Update best record row 3, checkpoints 0.07923195702548683 -> 0.07143159172300187
2021-10-07 01:15:52,157 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:15:52,158 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.07923195702548683 -> 0.07143159172300187
2021-10-07 01:15:53,369 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:24:35,683 | train | INFO | Write row 3
2021-10-07 01:24:36,960 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:24:36,960 | train | INFO | Update best record row 4, checkpoints 0.07143159172300187 -> 0.045317090215381654
2021-10-07 01:24:37,636 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:24:37,637 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.07143159172300187 -> 0.045317090215381654
2021-10-07 01:24:38,925 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:33:34,125 | train | INFO | Write row 4
2021-10-07 01:33:34,864 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:33:34,865 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 01:42:28,445 | train | INFO | Write row 5
2021-10-07 01:42:29,666 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:42:29,666 | train | INFO | Update best record row 6, checkpoints 0.045317090215381654 -> 0.03758508816770311
2021-10-07 01:42:30,364 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:42:30,365 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.045317090215381654 -> 0.03758508816770311
2021-10-07 01:42:31,626 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 01:51:18,756 | train | INFO | Write row 6
2021-10-07 01:51:19,471 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 01:51:19,472 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 02:00:07,335 | train | INFO | Write row 7
2021-10-07 02:00:08,110 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 02:00:08,110 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 02:08:54,599 | train | INFO | Write row 8
2021-10-07 02:08:55,390 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 02:08:55,391 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 02:17:43,046 | train | INFO | Write row 9
