2021-10-07 03:59:18,517 | train | INFO | Write row 0
2021-10-07 03:59:22,418 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\model.pt
2021-10-07 03:59:22,419 | train | INFO | Update best record row 1, checkpoints inf -> 0.10066138009080607
2021-10-07 03:59:23,323 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 03:59:26,620 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 04:20:36,903 | train | INFO | Write row 1
2021-10-07 04:20:40,073 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 04:20:40,076 | train | INFO | Update best record row 2, checkpoints 0.10066138009080607 -> 0.06656937542515626
2021-10-07 04:20:40,783 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 04:20:40,784 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.10066138009080607 -> 0.06656937542515626
2021-10-07 04:20:44,121 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 04:41:44,846 | train | INFO | Write row 2
2021-10-07 04:41:47,887 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 04:41:47,888 | train | INFO | Update best record row 3, checkpoints 0.06656937542515626 -> 0.051523869178313385
2021-10-07 04:41:48,658 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 04:41:48,659 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.06656937542515626 -> 0.051523869178313385
2021-10-07 04:41:52,058 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 05:02:53,285 | train | INFO | Write row 3
2021-10-07 05:02:56,541 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 05:02:56,542 | train | INFO | Update best record row 4, checkpoints 0.051523869178313385 -> 0.021646148513301305
2021-10-07 05:02:57,210 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 05:02:57,211 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.051523869178313385 -> 0.021646148513301305
2021-10-07 05:03:00,512 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 05:24:05,644 | train | INFO | Write row 4
2021-10-07 05:24:06,343 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 05:24:06,344 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 05:45:12,303 | train | INFO | Write row 5
2021-10-07 05:45:13,008 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 05:45:13,008 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 06:06:17,913 | train | INFO | Write row 6
2021-10-07 06:06:18,626 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 06:06:18,627 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 06:27:22,837 | train | INFO | Write row 7
2021-10-07 06:27:25,932 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742\best.pt
2021-10-07 06:27:25,933 | train | INFO | Update best record row 8, checkpoints 0.021646148513301305 -> 0.01636999212200575
