train_serial,train_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score,elapsed_time
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,0,0.413648168,0.129990228,0.891323954,0.961053011,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,1,0.22781219,0.147206079,0.934794372,0.961413631,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,2,0.19713035,0.146301405,0.943813131,0.960331771,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,3,0.173831003,0.151887197,0.947420635,0.957446809,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,4,0.159900987,0.181763864,0.95508658,0.946988821,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,5,0.15208488,0.116308191,0.953823954,0.966462315,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,6,0.151160843,0.27769198,0.956800144,0.923909124,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,7,0.127892947,0.097192487,0.962031025,0.970789758,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,8,0.1161954,0.080403753,0.965999278,0.977280923,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,9,0.107563072,0.103803745,0.970508658,0.966101695,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,10,0.105658792,0.280518153,0.967893218,0.94590696,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,11,0.111768965,0.098626664,0.965548341,0.971150379,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,12,0.090793384,0.085760416,0.972943723,0.978723404,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,13,0.093888128,0.089421758,0.972222222,0.977641543,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,14,0.101163106,0.075046481,0.971139971,0.978723404,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,15,0.082407507,0.052302978,0.97754329,0.98665705,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,16,0.079827309,0.196883873,0.973665224,0.936530833,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,17,0.073827669,0.06320011,0.977272727,0.981608366,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,18,0.083922699,0.135395545,0.974386724,0.961053011,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,19,0.062181075,0.055684095,0.981150794,0.983411468,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,20,0.071761728,0.062974014,0.978354978,0.979084025,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,21,0.072046651,0.094730824,0.977723665,0.969347277,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,22,0.070533247,0.081789229,0.97790404,0.9733141,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,23,0.068760003,0.074417622,0.979347042,0.978002164,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,24,0.065208186,0.046667233,0.980248918,0.98593581,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,25,0.059218546,0.092993851,0.981962482,0.974756581,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,26,0.05216418,0.082568284,0.983946609,0.978723404,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,27,0.064111184,0.1608542,0.979256854,0.964298594,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,28,0.054151608,0.066867348,0.984217172,0.982690227,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,29,0.056819272,0.060373522,0.98277417,0.981247746,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,30,0.064896929,0.069259362,0.980609668,0.980165885,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,31,0.049624536,0.105818827,0.984397547,0.970429138,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,32,0.056445981,0.050931308,0.983225108,0.985214569,
timm_tf_efficientnetv2_m_20211006002854,2.0211E+13,timm_tf_efficientnetv2_m,adam,ce,,10,16,100,0.001,5.00E-05,42,33,0.057915508,0.064648523,0.981331169,0.980887126,
