2021-10-06 03:56:11,992 | train | INFO | Write row 0
2021-10-06 03:56:13,711 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\model.pt
2021-10-06 03:56:13,712 | train | INFO | Update best record row 1, checkpoints inf -> 0.15099974471612732
2021-10-06 03:56:14,774 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 03:56:16,348 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:05:38,452 | train | INFO | Write row 1
2021-10-06 04:05:39,210 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:05:39,212 | train | INFO | Early stopper, Early stopping counter 1/10
2021-10-06 04:14:54,110 | train | INFO | Write row 2
2021-10-06 04:14:54,916 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:14:54,916 | train | INFO | Early stopper, Early stopping counter 2/10
2021-10-06 04:24:09,824 | train | INFO | Write row 3
2021-10-06 04:24:11,486 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:24:11,487 | train | INFO | Update best record row 4, checkpoints 0.15099974471612732 -> 0.14479976310529288
2021-10-06 04:24:12,234 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:24:12,235 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.15099974471612732 -> 0.14479976310529288
2021-10-06 04:24:13,853 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:33:34,340 | train | INFO | Write row 4
2021-10-06 04:33:35,988 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:33:35,989 | train | INFO | Update best record row 5, checkpoints 0.14479976310529288 -> 0.11134383450477583
2021-10-06 04:33:36,733 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:33:36,734 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.14479976310529288 -> 0.11134383450477583
2021-10-06 04:33:38,417 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:42:52,530 | train | INFO | Write row 5
2021-10-06 04:42:54,260 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:42:54,261 | train | INFO | Update best record row 6, checkpoints 0.11134383450477583 -> 0.08197430291548209
2021-10-06 04:42:54,996 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:42:54,996 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.11134383450477583 -> 0.08197430291548209
2021-10-06 04:42:56,675 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 04:52:10,421 | train | INFO | Write row 6
2021-10-06 04:52:11,192 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 04:52:11,193 | train | INFO | Early stopper, Early stopping counter 1/10
2021-10-06 05:01:25,551 | train | INFO | Write row 7
2021-10-06 05:01:26,384 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:01:26,385 | train | INFO | Early stopper, Early stopping counter 2/10
2021-10-06 05:10:42,350 | train | INFO | Write row 8
2021-10-06 05:10:43,950 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 05:10:43,951 | train | INFO | Update best record row 9, checkpoints 0.08197430291548209 -> 0.07426984666229625
2021-10-06 05:10:44,764 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:10:44,765 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.08197430291548209 -> 0.07426984666229625
2021-10-06 05:10:46,429 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 05:20:03,147 | train | INFO | Write row 9
2021-10-06 05:20:03,891 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:20:03,892 | train | INFO | Early stopper, Early stopping counter 1/10
2021-10-06 05:29:17,176 | train | INFO | Write row 10
2021-10-06 05:29:17,973 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:29:17,974 | train | INFO | Early stopper, Early stopping counter 2/10
2021-10-06 05:38:36,055 | train | INFO | Write row 11
2021-10-06 05:38:36,803 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:38:36,803 | train | INFO | Early stopper, Early stopping counter 3/10
2021-10-06 05:47:48,518 | train | INFO | Write row 12
2021-10-06 05:47:49,282 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:47:49,283 | train | INFO | Early stopper, Early stopping counter 4/10
2021-10-06 05:57:04,098 | train | INFO | Write row 13
2021-10-06 05:57:04,863 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631
2021-10-06 05:57:04,864 | train | INFO | Early stopper, Early stopping counter 5/10
2021-10-06 06:06:21,218 | train | INFO | Write row 14
2021-10-06 06:06:22,900 | train | INFO | Model saved: F:\aifarm_baseline\results\train\timm_tf_efficientnetv2_m_20211006034631\best.pt
2021-10-06 06:06:22,901 | train | INFO | Update best record row 15, checkpoints 0.07426984666229625 -> 0.06555629438620378
